"org_or_user","repo_name","full_name","language","stars","forks","open_issues","pushed_at","description","source"
"plurigrid","place","plurigrid/place","TeX","1","2","8","2026-06-04T09:51:50Z","","plurigrid"
"plurigrid","eirobri","plurigrid/eirobri","Clojure","0","0","29","2026-06-03T20:43:46Z","EiRoBri replay world","plurigrid"
"plurigrid","nash-portal","plurigrid/nash-portal","Rust","2","3","1","2026-05-19T01:49:59Z","NASH token TUI in the browser — ratzilla WASM + GeckoTerminal OHLCV candlesticks","plurigrid"
"plurigrid","gorj","plurigrid/gorj","Clojure","0","0","470","2026-06-10T04:23:23Z","forj + Rama topology nREPL routing + GF(3) gay trit coloring for compositional open game REPL orchestration","plurigrid"
"plurigrid","zig-syrup","plurigrid/zig-syrup","Zig","2","2","0","2026-04-30T03:52:16Z","High-performance Zig implementation of OCapN Syrup with CapTP optimizations","plurigrid"
"plurigrid","asi","plurigrid/asi","HTML","25","7","4","2026-04-26T08:51:41Z","everything is topological chemputer!","plurigrid"
"plurigrid","asi-skills","plurigrid/asi-skills","Julia","3","1","0","2026-04-26T08:09:26Z","69 skills with Galois Hole Type accessibility (Seven Sketches §1.4.1)","plurigrid"
"plurigrid","bci-blue-share","plurigrid/bci-blue-share","JavaScript","0","0","0","2026-04-26T07:08:03Z","BCI signal infrastructure — bci.blue / bci.red / bci.horse","plurigrid"
"plurigrid","nanoclj-zig","plurigrid/nanoclj-zig","Zig","1","2","20","2026-04-25T07:29:09Z","NaN-boxed Clojure interpreter in Zig 0.15 — interaction nets, fuel-bounded eval, GF(3) trit conservation","plurigrid"
"plurigrid","spi-race","plurigrid/spi-race","Swift","0","0","0","2026-04-21T19:31:56Z","Splitmix Parallel Integrity — deterministic color generation at hardware bandwidth across CPU, GPU, and every language","plurigrid"
"plurigrid","reafference","plurigrid/reafference","HTML","0","0","0","2026-04-16T05:21:49Z","Reafference adaptation workspace with three mutually exclusive prototype surfaces: portal shell, restty world, and ratzilla surface.","plurigrid"
"plurigrid","web-browser","plurigrid/web-browser","Rust","0","0","0","2026-04-10T02:54:47Z","web-browser — from prepostweb lineage (monaduck1069)","plurigrid"
"plurigrid","vivarium","plurigrid/vivarium","Clojure","1","0","0","2026-04-08T08:38:37Z","","plurigrid"
"plurigrid","flowglad-rs","plurigrid/flowglad-rs","Rust","0","0","0","2026-04-08T07:56:15Z","","plurigrid"
"plurigrid","tree-sitter-nanoclj-zig","plurigrid/tree-sitter-nanoclj-zig","C","0","0","0","2026-04-04T07:48:21Z","Tree-sitter grammar for nanoclj-zig","plurigrid"
"plurigrid","forester","plurigrid/forester","XSLT","0","0","0","2026-03-30T01:32:26Z","CatColab mathematical documentation forest — double category theory, doctrines, models. For bci.horse","plurigrid"
"plurigrid","gatomic","plurigrid/gatomic","Clojure","0","0","0","2026-03-30T00:54:48Z","Deterministic color identity store with sonification — Gay + Datomic + Atomic","plurigrid"
"plurigrid","blue","plurigrid/blue","TeX","0","0","0","2026-03-29T23:06:32Z","","plurigrid"
"plurigrid","red","plurigrid/red","","0","0","0","2026-03-29T22:58:46Z","","plurigrid"
"plurigrid","nblm-flashcards","plurigrid/nblm-flashcards","Hy","0","0","0","2026-03-26T08:23:01Z","NotebookLM Enterprise flashcard pipeline — Hy + Babashka + Emacs drill","plurigrid"
"plurigrid","gemini-agent","plurigrid/gemini-agent","Python","0","0","0","2026-02-19T06:39:16Z","","plurigrid"
"plurigrid","graded-optic","plurigrid/graded-optic","Haskell","0","0","0","2026-02-08T16:10:16Z","Semiring-graded bidirectional processes — optics where each channel carries an independent semiring grade","plurigrid"
"plurigrid","json-canvas","plurigrid/json-canvas","","0","0","0","2026-02-06T06:50:57Z","JSON Canvas: Real-time interaction data capture via W3C JSON-LD 1.1","plurigrid"
"plurigrid","shepherd","plurigrid/shepherd","Scheme","0","0","0","2026-01-23T07:47:28Z","Spritely Shepherd - Service manager (mirror from Codeberg)","plurigrid"
"plurigrid","goblinshare","plurigrid/goblinshare","Scheme","0","0","0","2026-01-23T07:47:12Z","P2P filesharing demo for Goblins (mirror from Codeberg)","plurigrid"
"plurigrid","magenc","plurigrid/magenc","Scheme","0","0","0","2026-01-23T07:47:11Z","Magenc Magnet URIs - Secure Object Permanence for the Web (mirror from Codeberg)","plurigrid"
"plurigrid","hoot","plurigrid/hoot","Scheme","0","0","1","2026-01-23T07:47:10Z","Spritely Hoot - Scheme to WebAssembly compiler (mirror from Codeberg)","plurigrid"
"plurigrid","leprechauns","plurigrid/leprechauns","Racket","0","0","0","2026-01-23T07:46:46Z","Spritely Goblins + Gay.jl semantic colors (green-rooted) - Distributed object capability programming","plurigrid"
"plurigrid","spritely-semantic-colors","plurigrid/spritely-semantic-colors","","0","0","0","2026-01-23T07:38:32Z","Deterministic color mappings for Spritely/Goblins objects using Gay.jl GF(3) semantics","plurigrid"
"plurigrid","gay-tofu","plurigrid/gay-tofu","HTML","0","0","0","2026-01-08T15:14:34Z","Low-discrepancy color sequences for visual TOFU authentication","plurigrid"
"plurigrid","lazygay","plurigrid/lazygay","Go","0","0","0","2026-01-08T14:19:25Z","lazygit fork with Gay.jl deterministic commit coloring","plurigrid"
"plurigrid","gay-terminal","plurigrid/gay-terminal","Rust","0","0","0","2026-01-08T14:19:24Z","Terminal ANSI coloring with Gay.jl low-discrepancy sequences","plurigrid"
"plurigrid","gay-go","plurigrid/gay-go","Go","0","0","0","2026-01-08T14:19:23Z","Go implementation of Gay.jl deterministic coloring","plurigrid"
"plurigrid","gay-rs","plurigrid/gay-rs","Rust","0","0","0","2026-01-08T14:19:22Z","Rust crate for Gay.jl deterministic coloring with GF(3) trits","plurigrid"
"plurigrid","lazybjj","plurigrid/lazybjj","Rust","0","0","0","2026-01-08T14:19:19Z","TUI for jj with Gay.jl GF(3) coloring - Brazilian Jiu-jitsu for version control","plurigrid"
"plurigrid","agent-o-rama","plurigrid/agent-o-rama","Clojure","0","0","0","2026-01-02T01:09:22Z","","plurigrid"
"plurigrid","aptos-wallet-ruby","plurigrid/aptos-wallet-ruby","Ruby","1","0","0","2025-09-30T22:47:22Z","","plurigrid"
"plurigrid","duck-kanban","plurigrid/duck-kanban","Rust","1","0","0","2025-09-26T20:18:38Z","Duck intelligence kanban system with kundalini computational pattern recognition","plurigrid"
"plurigrid","shiteshiteshite","plurigrid/shiteshiteshite","","0","0","0","2025-09-26T03:07:20Z","Duck intelligence kanban system with kundalini computational pattern recognition","plurigrid"
"plurigrid","discohy","plurigrid/discohy","Hy","0","0","0","2025-09-10T02:01:31Z","","plurigrid"
"plurigrid","telemind","plurigrid/telemind","","0","0","0","2025-06-12T05:54:59Z","","plurigrid"
"plurigrid","ontology","plurigrid/ontology","JavaScript","8","9","16","2025-05-27T18:18:34Z","autopoietic ergodicity and embodied gradualism","plurigrid"
"plurigrid","Plurigraph","plurigrid/Plurigraph","JavaScript","3","5","4","2025-01-05T08:39:09Z","Plurigrid knowledge base for use with Obsidian.md","plurigrid"
"plurigrid","signe","plurigrid/signe","Python","0","0","0","2024-08-15T20:52:03Z","Signal messages data traversal","plurigrid"
"plurigrid","SwiftDuck","plurigrid/SwiftDuck","","0","0","0","2024-08-08T18:19:06Z","","plurigrid"
"plurigrid","act","plurigrid/act","Python","3","1","4","2024-07-26T08:27:08Z","building blocks for cognitive category theory","plurigrid"
"plurigrid","xenomorphic","plurigrid/xenomorphic","","0","0","0","2024-04-09T03:24:55Z","","plurigrid"
"plurigrid","metamorphic","plurigrid/metamorphic","","0","0","0","2024-04-09T03:22:41Z","","plurigrid"
"plurigrid","DiffusionVoiceDemo","plurigrid/DiffusionVoiceDemo","Clojure","0","0","0","2024-04-02T18:09:01Z","","plurigrid"
"plurigrid","website","plurigrid/website","Clojure","0","1","0","2024-03-30T04:37:51Z","","plurigrid"
"plurigrid","StochFlow","plurigrid/StochFlow","Python","4","1","0","2024-03-20T23:34:57Z","a Python library that implements the stochastic interpolant models and algorithms described in the paper ""Stochastic Interpolants via Diffusive and Flow-based Processes"" by Chen et al.","plurigrid"
"plurigrid","intent","plurigrid/intent","","0","0","0","2024-03-04T04:53:38Z","Simulations for `An Analysis of Intent Markets'.","plurigrid"
"plurigrid","novella","plurigrid/novella","TypeScript","1","0","0","2024-01-27T08:12:55Z","","plurigrid"
"plurigrid","ACT.jl","plurigrid/ACT.jl","Julia","0","0","0","2024-01-21T00:02:25Z","applied categorical duck cybernetics 🦆","plurigrid"
"plurigrid","ducklings","plurigrid/ducklings","TypeScript","0","0","15","2023-12-25T07:34:27Z","","plurigrid"
"plurigrid","paretae","plurigrid/paretae","TypeScript","0","0","14","2023-11-20T05:14:42Z","","plurigrid"
"plurigrid","experiments","plurigrid/experiments","","0","0","0","2023-11-17T05:39:07Z","Learning from 🧮🦆📥 ""An archive of experiments done to inform Penrose development.""","plurigrid"
"plurigrid","fuckit","plurigrid/fuckit","Clojure","0","0","0","2023-11-14T21:26:14Z","","plurigrid"
"plurigrid","omega","plurigrid/omega","Clojure","0","0","0","2023-11-07T21:08:46Z","","plurigrid"
"plurigrid","org","plurigrid/org","Jupyter Notebook","2","0","1","2023-11-07T01:08:05Z","Dynamically Replicating Duck 🦆 Leveraging DIrected Hypergraphs for Directed Graph Analysis of Repo Commits Anomaly Detection paired with BERT Attention Masking","plurigrid"
"plurigrid","CVAE-Flows","plurigrid/CVAE-Flows","","0","0","0","2023-10-24T14:41:32Z","Leveraging dihypergraphs and latent spaces for conversation context extraction and flow modelling","plurigrid"
"plurigrid","morph-prover-cli","plurigrid/morph-prover-cli","","0","1","0","2023-10-18T03:49:03Z","Lean4 in","plurigrid"
"plurigrid","uncharacter","plurigrid/uncharacter","TypeScript","0","0","0","2023-09-19T20:17:46Z","","plurigrid"
"plurigrid","chateau","plurigrid/chateau","TypeScript","0","0","0","2023-08-30T20:11:12Z","","plurigrid"
"plurigrid","gmgm","plurigrid/gmgm","","0","0","1","2023-08-25T13:54:00Z","","plurigrid"
"plurigrid","tuttle","plurigrid/tuttle","TypeScript","0","0","0","2023-08-09T17:40:44Z","","plurigrid"
"plurigrid","mesoplay","plurigrid/mesoplay","","0","0","0","2023-08-09T06:19:03Z","","plurigrid"
"plurigrid","am","plurigrid/am","Python","0","0","0","2023-08-05T12:46:33Z","","plurigrid"
"plurigrid","compose","plurigrid/compose","","0","0","2","2023-07-24T06:18:48Z","","plurigrid"
"plurigrid","flussi","plurigrid/flussi","","0","0","1","2023-07-15T06:40:11Z","","plurigrid"
"plurigrid","cf","plurigrid/cf","","0","0","0","2023-07-11T08:11:29Z","","plurigrid"
"plurigrid","poepoe","plurigrid/poepoe","","0","0","1","2023-07-09T22:20:50Z","","plurigrid"
"plurigrid","marketplace","plurigrid/marketplace","","0","0","1","2023-07-09T05:52:30Z","","plurigrid"
"plurigrid","smoller","plurigrid/smoller","","0","0","1","2023-07-06T07:38:04Z","","plurigrid"
"plurigrid","liquidity","plurigrid/liquidity","","0","0","1","2023-07-06T02:07:28Z","","plurigrid"
"plurigrid","solid-rs","plurigrid/solid-rs","","0","0","1","2023-07-05T21:58:05Z","","plurigrid"
"plurigrid","solid","plurigrid/solid","Python","0","0","0","2023-07-05T21:52:25Z","","plurigrid"
"plurigrid","ipegrafo","plurigrid/ipegrafo","Python","0","0","0","2023-07-03T07:29:40Z","","plurigrid"
"plurigrid","plurigrid-v4","plurigrid/plurigrid-v4","TypeScript","0","0","0","2023-07-03T06:31:59Z","","plurigrid"
"plurigrid","novella-v3","plurigrid/novella-v3","","0","0","0","2023-07-03T06:29:40Z","","plurigrid"
"plurigrid","polyglottal","plurigrid/polyglottal","TypeScript","0","0","0","2023-07-03T06:23:45Z","","plurigrid"
"plurigrid","novella-v2","plurigrid/novella-v2","","0","0","0","2023-07-03T06:22:38Z","","plurigrid"
"plurigrid","cocreation-ui","plurigrid/cocreation-ui","","0","0","2","2023-07-03T04:45:53Z","","plurigrid"
"plurigrid","smol","plurigrid/smol","","0","0","1","2023-07-02T08:45:32Z","","plurigrid"
"plurigrid","commons","plurigrid/commons","TypeScript","0","0","0","2023-06-27T05:46:24Z","","plurigrid"
"plurigrid","post-web","plurigrid/post-web","Svelte","0","0","0","2023-06-18T00:24:24Z","","plurigrid"
"plurigrid","microworlds","plurigrid/microworlds","Rust","3","5","3","2023-05-13T03:54:56Z","👽","plurigrid"
"plurigrid","pills","plurigrid/pills","","0","0","0","2023-05-02T10:03:03Z","metaphors for embodied gradualism","plurigrid"
"plurigrid","plurigrid-rs","plurigrid/plurigrid-rs","Rust","0","0","0","2023-04-21T01:02:56Z","","plurigrid"
"plurigrid","plurigrid-game.github.io","plurigrid/plurigrid-game.github.io","HTML","0","0","1","2023-04-20T00:17:55Z","","plurigrid"
"plurigrid","synth","plurigrid/synth","Rust","0","0","0","2023-04-15T01:56:45Z","","plurigrid"
"plurigrid","birbs","plurigrid/birbs","C++","0","0","0","2023-04-15T01:56:32Z","Build native CosmWasm apps w/ Dart and Flutter! 💙🦚","plurigrid"
"plurigrid","agent","plurigrid/agent","Python","5","1","6","2023-03-31T18:45:23Z","Framework for agency amplification. A conversational agent for every DAO! 🐈‍⬛","plurigrid"
"plurigrid","vcg-auction","plurigrid/vcg-auction","Rust","7","2","1","2023-03-16T21:53:08Z","a simple contract that performs a VCG auction ","plurigrid"
"plurigrid","bidder","plurigrid/bidder","Dart","0","0","1","2023-03-15T15:23:22Z","simple flutter app which allows bidding in a vcg auction","plurigrid"
"plurigrid","plurigrid.github.io","plurigrid/plurigrid.github.io","HTML","1","2","2","2023-01-20T03:27:34Z","","plurigrid"
"plurigrid","VPP","plurigrid/VPP","Julia","0","1","0","2023-01-11T18:41:07Z","Hyperreal Power Plant 🏭⚡️ Power to the People! 🏴","plurigrid"
"plurigrid","grid","plurigrid/grid","TypeScript","2","1","1","2023-01-02T11:55:55Z","Plurigrid Testnet #0: Edith Clarke","plurigrid"
"plurigrid","commons-contracts","plurigrid/commons-contracts","Rust","0","0","0","2022-09-09T09:20:11Z","CosmWasm contracts to implement Commons Stack","plurigrid"
"plurigrid","plurigrid.xyz","plurigrid/plurigrid.xyz","TypeScript","0","0","1","2022-08-31T05:26:14Z","","plurigrid"
"kubeflow","hub","kubeflow/hub","Go","175","181","44","2026-06-09T20:55:27Z","Model Registry provides a single pane of glass for ML model developers to index and manage models, versions, and ML artifacts metadata. It fills a gap between model experimentation and production activities. It provides a central interface for all stakeholders in the MLOps lifecycle to collaborate on ML models.","kubeflow"
"kubeflow","trainer","kubeflow/trainer","Go","2112","963","129","2026-06-10T03:16:23Z","Distributed AI Model Training and LLM Fine-Tuning on Kubernetes","kubeflow"
"kubeflow","pipelines","kubeflow/pipelines","Python","4153","2004","494","2026-06-09T20:25:21Z","Machine Learning Pipelines for Kubeflow","kubeflow"
"kubeflow","internal-acls","kubeflow/internal-acls","Go","19","389","1","2026-06-09T18:22:27Z","Repository used to main group ACLs used by Kubeflow developers","kubeflow"
"kubeflow","spark-operator","kubeflow/spark-operator","Python","3126","1488","97","2026-06-09T17:15:24Z","Kubernetes operator for managing the lifecycle of Apache Spark applications on Kubernetes. ","kubeflow"
"kubeflow","community","kubeflow/community","Jupyter Notebook","194","258","15","2026-06-09T15:18:15Z","Information about the Kubeflow community including proposals and governance information.","kubeflow"
"kubeflow","manifests","kubeflow/manifests","YAML","1022","1065","22","2026-06-09T13:01:47Z","Kubeflow Community Distribution","kubeflow"
"kubeflow","mcp-apache-spark-history-server","kubeflow/mcp-apache-spark-history-server","Python","174","63","22","2026-06-08T23:08:55Z","MCP Server and CLI for Apache Spark History Server. Debug Spark applications from AI agents, scripts, or the terminal.","kubeflow"
"kubeflow","notebooks","kubeflow/notebooks","","73","118","173","2026-06-09T15:34:30Z","Kubeflow Notebooks runs interactive development environments for AI, ML, and Data workloads on Kubernetes.","kubeflow"
"kubeflow","kale","kubeflow/kale","Python","693","155","48","2026-06-05T21:02:41Z","Kubeflow’s superfood for Data Scientists","kubeflow"
"kubeflow","website","kubeflow/website","HTML","184","923","49","2026-06-05T02:01:44Z","Kubeflow Website","kubeflow"
"kubeflow","dashboard","kubeflow/dashboard","TypeScript","16","59","73","2026-06-10T04:48:30Z","Kubeflow Central Dashboard is the web interface for Kubeflow","kubeflow"
"kubeflow","katib","kubeflow/katib","Python","1685","525","119","2026-06-05T23:23:35Z","Automated Machine Learning on Kubernetes","kubeflow"
"kubeflow","sdk","kubeflow/sdk","Python","120","180","132","2026-06-08T03:07:18Z","Universal Python SDK to run AI workloads on Kubernetes","kubeflow"
"kubeflow","mpi-operator","kubeflow/mpi-operator","Go","528","235","103","2026-06-02T14:30:58Z","Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)","kubeflow"
"kubeflow","pipelines-components","kubeflow/pipelines-components","Python","11","43","33","2026-06-04T17:39:10Z","Kubeflow Pipelines","kubeflow"
"kubeflow","mlflow-integration","kubeflow/mlflow-integration","Python","6","4","4","2026-05-27T15:42:37Z","","kubeflow"
"kubeflow","blog","kubeflow/blog","Jupyter Notebook","32","62","26","2026-05-25T13:02:24Z","Kubeflow blog  based on fastpages","kubeflow"
"kubeflow","kubeflow","kubeflow/kubeflow","","15713","2672","3","2026-05-24T11:31:41Z","Machine Learning Toolkit for Kubernetes","kubeflow"
"kubeflow","mcp-server","kubeflow/mcp-server","Python","11","20","25","2026-05-12T10:14:24Z","MCP Server for AI-Assisted Development with Kubeflow Tools","kubeflow"
"kubeflow","arena","kubeflow/arena","Go","812","190","46","2026-05-07T06:46:17Z","A CLI for Kubeflow. ","kubeflow"
"kubeflow","docs-agent","kubeflow/docs-agent","Python","37","94","151","2026-04-14T03:33:15Z","Kubeflow Documentation AI Agent to power the Kubeflow Website","kubeflow"
"kubeflow","examples","kubeflow/examples","Jsonnet","1462","756","111","2025-04-14T01:54:52Z","A repository to host extended examples and tutorials","kubeflow"
"kubeflow","testing","kubeflow/testing","Python","60","86","33","2025-02-14T18:33:13Z","Test infrastructure and tooling for Kubeflow.","kubeflow"
"kubeflow","kfp-tekton","kubeflow/kfp-tekton","TypeScript","182","123","79","2024-11-19T12:23:51Z","Kubeflow Pipelines on Tekton","kubeflow"
"kubeflow","kfserving-lts","kubeflow/kfserving-lts","Jsonnet","12","19","51","2024-08-02T16:25:44Z","","kubeflow"
"kubeflow","kubebench","kubeflow/kubebench","Jsonnet","78","35","68","2024-06-17T19:22:04Z","Repository for benchmarking","kubeflow"
"kubeflow","fate-operator","kubeflow/fate-operator","Go","51","15","6","2024-02-22T19:44:08Z","Fate operator","kubeflow"
"kubeflow","kfctl","kubeflow/kfctl","Go","182","134","94","2023-08-15T20:19:22Z","kfctl is a CLI for deploying and managing Kubeflow","kubeflow"
"kubeflow","kfp-tekton-backend","kubeflow/kfp-tekton-backend","TypeScript","8","6","46","2023-08-14T22:05:04Z","Experimental project plugging Tekton yaml behind KFP API and UI engine","kubeflow"
"kubeflow","common","kubeflow/common","Go","53","70","40","2023-05-28T13:16:00Z","Common APIs and libraries shared by other Kubeflow operator repositories.","kubeflow"
"kubeflow",".allstar","kubeflow/.allstar","","2","0","0","2022-12-06T23:07:59Z","","kubeflow"
"kubeflow","fairing","kubeflow/fairing","Jsonnet","337","143","134","2022-04-11T05:28:47Z","Python SDK for building, training, and deploying ML models","kubeflow"
"kubeflow","xgboost-operator","kubeflow/xgboost-operator","Python","77","53","22","2021-12-01T18:00:10Z","Incubating project for xgboost operator","kubeflow"
"kubeflow","mxnet-operator","kubeflow/mxnet-operator","Go","52","33","9","2021-12-01T17:47:19Z","A Kubernetes operator for mxnet jobs","kubeflow"
"kubeflow","pytorch-operator","kubeflow/pytorch-operator","Jsonnet","310","143","63","2021-12-01T17:44:48Z","PyTorch on Kubernetes","kubeflow"
"kubeflow","frontend","kubeflow/frontend","JavaScript","8","18","12","2021-12-01T17:41:37Z","Repository for kubeflow frontend","kubeflow"
"kubeflow","metadata","kubeflow/metadata","TypeScript","123","63","38","2021-12-01T17:35:27Z","Repository for assets related to Metadata.","kubeflow"
"kubeflow","caffe2-operator","kubeflow/caffe2-operator","Go","16","12","2","2021-12-01T01:58:06Z","Experimental repository for a caffe2 operator","kubeflow"
"kubeflow","code-intelligence","kubeflow/code-intelligence","Jupyter Notebook","56","20","64","2021-12-01T01:52:58Z","ML-Powered Developer Tools, using Kubeflow","kubeflow"
"kubeflow","example-seldon","kubeflow/example-seldon","Jupyter Notebook","172","56","9","2021-12-01T01:49:58Z","Example for end-to-end machine learning on Kubernetes using Kubeflow and Seldon Core","kubeflow"
